sample_id	tissue
GTEX-ZVZP-0006-SM-51MSW	4
GTEX-O5YT-0226-SM-32PK5	3
GTEX-S341-0226-SM-5S2VG	2
GTEX-WFG8-0426-SM-3GILD	2
GTEX-13OVJ-0226-SM-5L3GK	0
GTEX-U4B1-1726-SM-3DB9F	3
GTEX-12WSA-0326-SM-5BC6I	3
GTEX-SSA3-0005-SM-32QOT	4
GTEX-13O3O-0926-SM-5KM1F	2
GTEX-YBZK-0326-SM-59HLN	0
GTEX-POMQ-0526-SM-3GADD	1
GTEX-RWSA-0726-SM-2XCBE	0
GTEX-QLQW-0005-SM-2S1RA	4
GTEX-XUJ4-2626-SM-4BOQ3	0
GTEX-X4XY-1026-SM-46MVX	1
GTEX-QXCU-0326-SM-2TC63	2
GTEX-SUCS-1626-SM-32PLS	0
GTEX-WHSE-0526-SM-5GZZD	0
GTEX-ZC5H-0926-SM-5CVMZ	1
GTEX-OHPK-2626-SM-2HMK9	2
GTEX-14ICL-0426-SM-5RQJ3	2
GTEX-Y111-0326-SM-4SOIX	0
GTEX-13VXT-0005-SM-5N9F3	4
GTEX-1128S-0726-SM-5N9D6	1
GTEX-12WSM-0005-SM-5NQB3	4
GTEX-1314G-0005-SM-5NQ9O	4
GTEX-13CZU-0005-SM-5LU8K	4
GTEX-13OW6-0526-SM-5L3HY	3
GTEX-12C56-1926-SM-5FQUG	0
GTEX-ZP4G-0006-SM-4WWE6	4
GTEX-13O61-2426-SM-5J1NV	3
GTEX-1117F-0426-SM-5EGHI	0
GTEX-S4P3-0226-SM-3K2BD	2
GTEX-QXCU-1726-SM-2TC6L	0
GTEX-OOBJ-1626-SM-2I3F7	0
GTEX-RVPU-2326-SM-2TF6R	3
GTEX-X62O-0005-SM-46MV1	4
GTEX-TMZS-0326-SM-3DB9P	0
GTEX-11DXW-0326-SM-5H11W	3
GTEX-T2IS-0226-SM-32QPH	3
GTEX-OXRP-0226-SM-3NB14	3
GTEX-R53T-0005-SM-3GADK	4
GTEX-1399U-2426-SM-5K7XB	3
GTEX-XPVG-2726-SM-4B66W	3
GTEX-XQ8I-1126-SM-4BOO2	1
GTEX-S7SE-0726-SM-2XCD7	2
GTEX-OHPM-0526-SM-2YUMJ	1
GTEX-11TT1-1626-SM-5EQL7	1
GTEX-13FTW-2526-SM-5IJC8	3
GTEX-13O61-0726-SM-5J2MD	1
GTEX-UJHI-0726-SM-3DB92	1
GTEX-PLZ5-1826-SM-3NB22	3
GTEX-146FQ-0726-SM-5LUA7	2
GTEX-145MG-0826-SM-5Q5C2	2
GTEX-WQUQ-0006-SM-3MJF4	4
GTEX-14BIL-0326-SM-5SI9Q	0
GTEX-12KS4-0005-SM-5SI94	4
GTEX-XPT6-2026-SM-4B64V	0
GTEX-Y8DK-0005-SM-4RGNR	4
GTEX-OIZI-0726-SM-2XCEI	2
GTEX-UTHO-0426-SM-5SI7N	3
GTEX-XUW1-0826-SM-4BOP6	0
GTEX-11NV4-1126-SM-5HL6J	1
GTEX-1497J-0126-SM-5Q5BK	2
GTEX-13OW8-0005-SM-5NQAC	4
GTEX-ZC5H-0005-SM-4WAXM	4
GTEX-13JVG-1426-SM-5MR4W	1
GTEX-P4PQ-0005-SM-2HMKJ	4
GTEX-11TTK-0326-SM-5BC5N	0
GTEX-X88G-0326-SM-47JZ4	0
GTEX-QMRM-0826-SM-3NB33	1
GTEX-QXCU-0006-SM-2TC5K	4
GTEX-1211K-0726-SM-5FQUW	2
GTEX-Y114-2326-SM-4TT7X	3
GTEX-139TT-0006-SM-5O9CG	4
GTEX-XBEC-0626-SM-4QARY	0
GTEX-NPJ8-2526-SM-2HML8	2
GTEX-11EI6-0326-SM-5EQ6G	0
GTEX-RWSA-0005-SM-2XCAO	4
GTEX-13O21-2226-SM-5MR3L	2
GTEX-ZV6S-2126-SM-4YCEM	0
GTEX-WL46-0626-SM-3LK7R	0
GTEX-11TT1-0005-SM-5NQ8Y	4
GTEX-12WSH-0005-SM-5NQ9P	4
GTEX-YB5K-0526-SM-5LUAS	2
GTEX-ZVZP-2326-SM-59HL4	3
GTEX-12584-0005-SM-5N9GM	4
GTEX-RU1J-0126-SM-2TF6Y	1
GTEX-144FL-0326-SM-5O99O	0
GTEX-UPIC-0826-SM-3GADQ	1
GTEX-1477Z-1626-SM-5SIA8	0
GTEX-XUZC-1826-SM-4BRVO	3
GTEX-XQ8I-0526-SM-4BOPS	3
GTEX-144GM-0126-SM-5Q5AX	1
GTEX-XUJ4-2526-SM-4BOO4	3
GTEX-XLM4-0726-SM-4AT64	2
GTEX-W5X1-2626-SM-4LMI8	3
GTEX-S33H-0626-SM-2XCBJ	1
GTEX-OXRO-0006-SM-2I5EM	4
GTEX-RM2N-1726-SM-2TF55	3
GTEX-X4XY-0326-SM-46MVZ	3
GTEX-11WQK-0005-SM-5O9AV	4
GTEX-WRHK-0005-SM-3MJF5	4
GTEX-ZDXO-1326-SM-57WBS	1
GTEX-ZYWO-0826-SM-5E45W	1
GTEX-13OVI-0826-SM-5KLZ8	2
GTEX-14A5I-0005-SM-5N9FU	4
GTEX-11XUK-0005-SM-5LU9F	4
GTEX-YB5E-0005-SM-4VDSO	4
GTEX-WFON-2226-SM-3TW8W	3
GTEX-ZAB4-0426-SM-5HL7N	0
GTEX-14A5H-0006-SM-5O9AI	4
GTEX-OXRP-2326-SM-2S1NL	0
GTEX-T2YK-0005-SM-32QOV	4
GTEX-ZTSS-2026-SM-5987K	3
GTEX-ZYVF-1126-SM-5E458	2
GTEX-ZYY3-0526-SM-5E45G	0
GTEX-TSE9-0526-SM-3DB7Z	0
GTEX-ZC5H-0626-SM-5LU9K	2
GTEX-14753-0326-SM-5QGQB	3
GTEX-QV31-1426-SM-2S1QD	0
GTEX-13PL7-1726-SM-5J2NX	1
GTEX-12WSK-0006-SM-5NQA1	4
GTEX-Q734-2026-SM-3GADA	0
GTEX-13D11-2526-SM-5KM28	0
GTEX-SJXC-0005-SM-2XCE7	4
GTEX-14ASI-0526-SM-5QGQP	0
GTEX-14C38-0006-SM-5NQBF	4
GTEX-14A6H-2426-SM-5Q5BO	2
GTEX-14A5H-0726-SM-5Q5DW	2
GTEX-X15G-0526-SM-3NMB7	2
GTEX-147F3-0226-SM-5NQBV	0
GTEX-131XG-0006-SM-5O9CE	4
GTEX-12WSN-2526-SM-5LZU8	0
GTEX-14BMU-2026-SM-5S2W6	0
GTEX-13NZ9-1126-SM-5MR37	2
GTEX-13PVR-2426-SM-5RQHN	3
GTEX-13N2G-2726-SM-5J1MG	3
GTEX-12ZZX-1226-SM-5EGHS	2
GTEX-U8XE-0426-SM-3DB91	3
GTEX-P78B-0926-SM-2I5FA	1
GTEX-X261-0226-SM-3NMD2	3
GTEX-OXRO-0226-SM-3LK6F	3
GTEX-PLZ4-0926-SM-2S1OI	0
GTEX-OHPM-0006-SM-2HMKU	4
GTEX-133LE-1926-SM-5N9FV	3
GTEX-13OW8-1726-SM-5L3GO	1
GTEX-144GL-0226-SM-5QGOX	3
GTEX-13JVG-0926-SM-5IJE1	2
GTEX-XUZC-0005-SM-4BOQ8	4
GTEX-111YS-2326-SM-5987L	0
GTEX-OXRK-0926-SM-2HMKP	1
GTEX-U3ZH-0226-SM-3DB7B	2
GTEX-PX3G-2626-SM-2I3EG	2
GTEX-WYJK-1726-SM-3NM9U	0
GTEX-T6MN-0226-SM-32PMD	3
GTEX-13O61-0226-SM-5KM52	2
GTEX-1399U-0005-SM-5NQ8K	4
GTEX-X261-1026-SM-3NMDL	1
GTEX-Y5V5-0326-SM-5RQJG	2
GTEX-Y5LM-0726-SM-4VBRP	1
GTEX-145ME-0126-SM-5S2QM	2
GTEX-XYKS-2726-SM-4E3IC	3
GTEX-11I78-2626-SM-5Q5AI	3
GTEX-SN8G-0226-SM-4DM6B	3
GTEX-13W3W-0005-SM-5SI9Y	4
GTEX-13FTX-2026-SM-5L3D6	0
GTEX-12C56-1626-SM-5FQUO	3
GTEX-SUCS-0226-SM-32PLQ	2
GTEX-ZF2S-2126-SM-4WWAY	0
GTEX-VUSG-0006-SM-3GIK9	4
GTEX-RU72-1026-SM-46MUG	3
GTEX-YEC4-0526-SM-4W21U	1
GTEX-13QBU-2526-SM-5LU4X	3
GTEX-1399R-2626-SM-5KLZ7	3
GTEX-YJ8A-0526-SM-5IFHT	3
GTEX-14B4R-0006-SM-5O9A7	4
GTEX-Q2AI-0006-SM-2I3FG	4
GTEX-11OC5-0006-SM-5N9FA	4
GTEX-QDT8-0226-SM-32PL4	3
GTEX-XMK1-0005-SM-4B665	4
GTEX-13O3Q-0526-SM-5KM18	1
GTEX-ZZPU-0526-SM-5E44U	1
GTEX-XBEW-1026-SM-4QARV	0
GTEX-QVJO-0006-SM-2S1RC	4
GTEX-11ONC-2526-SM-5986W	3
GTEX-WFG7-0526-SM-3GIKI	1
GTEX-YB5E-0726-SM-4VDSH	1
GTEX-11VI4-1926-SM-5CVLI	0
GTEX-147F4-0826-SM-5QGRB	2
GTEX-12KS4-0726-SM-5FQSX	1
GTEX-WVJS-0826-SM-4MVNR	1
GTEX-Y5V6-0226-SM-4V6G7	1
GTEX-131XF-2226-SM-5EQKG	3
GTEX-ZT9X-0326-SM-51MTE	1
GTEX-13111-0426-SM-5DUXR	1
GTEX-145ME-2026-SM-5SIA5	0
GTEX-11LCK-1126-SM-5A5KC	3
GTEX-QDVJ-0005-SM-2TC5X	4
GTEX-PLZ4-0226-SM-5SI7M	3
GTEX-ZT9W-0005-SM-4YCEG	4
GTEX-117YX-2226-SM-5EGJJ	3
GTEX-ZPU1-2426-SM-4WWFM	3
GTEX-Y8LW-0326-SM-4VBQ9	1
GTEX-S7SE-0926-SM-2XCD6	1
GTEX-PSDG-0326-SM-48TCP	3
GTEX-12ZZY-0326-SM-5LZVQ	3
GTEX-P4QR-0726-SM-2I5GO	0
GTEX-S4Z8-0426-SM-3K2AH	1
GTEX-T2IS-2626-SM-32QPP	0
GTEX-146FR-0326-SM-5SI8U	2
GTEX-X638-0226-SM-47JZ9	3
GTEX-ZDTT-0926-SM-5J2MS	1
GTEX-TML8-2026-SM-32QOP	3
GTEX-PSDG-0426-SM-5SI86	0
GTEX-139T4-0126-SM-5HL5G	3
GTEX-Y114-2526-SM-4TT8M	0
GTEX-13OW6-0726-SM-5L3FX	2
GTEX-139T6-0006-SM-5LU92	4
GTEX-VUSH-0005-SM-3NB2H	4
GTEX-145LV-2326-SM-5LU8Z	0
GTEX-P4PP-0526-SM-2HMKE	1
GTEX-ZVE1-0526-SM-5NQ71	0
GTEX-ZTX8-0006-SM-4YCE4	4
GTEX-144FL-0226-SM-5Q5D4	3
GTEX-OOBK-0526-SM-2HMJJ	1
GTEX-RVPV-0006-SM-2TF6Q	4
GTEX-Q2AH-1826-SM-2S1Q2	0
GTEX-1269C-0226-SM-5EGKS	2
GTEX-S95S-1326-SM-2XCDK	3
GTEX-11EQ9-0226-SM-5A5JX	1
GTEX-X5EB-2426-SM-4E3HX	3
GTEX-TKQ2-0826-SM-33HB6	0
GTEX-ZVT3-0006-SM-51MT9	4
GTEX-14A5H-0326-SM-5RQIB	0
GTEX-11GSP-0006-SM-5N9EL	4
GTEX-NL3G-0526-SM-4RTWW	1
GTEX-132QS-0726-SM-5IJE9	1
GTEX-WY7C-2526-SM-3NB2N	0
GTEX-QV44-0926-SM-2S1RH	1
GTEX-ZDTS-0006-SM-4WAYZ	4
GTEX-S4Q7-1526-SM-3K2AG	0
GTEX-11P7K-2026-SM-5GU74	3
GTEX-OIZG-0526-SM-2HMLF	1
GTEX-139YR-0926-SM-5LZYB	1
GTEX-T6MO-1726-SM-33HB8	3
GTEX-145LS-0226-SM-5O9A5	3
GTEX-ZPIC-1826-SM-57WFE	3
GTEX-OIZG-1326-SM-2HMIQ	0
GTEX-PWCY-2026-SM-5SI8R	0
GTEX-RWS6-0005-SM-2XCAN	4
GTEX-ZQG8-0326-SM-51MSE	1
GTEX-SJXC-0526-SM-2XCFG	0
GTEX-PWN1-2626-SM-2I3FH	2
GTEX-SE5C-0726-SM-4BRWY	2
GTEX-U8T8-2326-SM-3DB96	2
GTEX-132AR-0006-SM-5NQ7N	4
GTEX-13O3P-0726-SM-5J2OM	2
GTEX-Y5V6-2526-SM-5IFJV	3
GTEX-11GSP-2726-SM-5A5LJ	0
GTEX-SUCS-0006-SM-4DM59	4
GTEX-ZYFC-0526-SM-5GIDF	0
GTEX-RTLS-0926-SM-2TF5X	1
GTEX-WY7C-0006-SM-3NB3L	4
GTEX-14DAR-0006-SM-5N9GC	4
GTEX-12584-0526-SM-5FQTS	0
GTEX-T8EM-0006-SM-3DB71	4
GTEX-133LE-2026-SM-5K7WM	0
GTEX-RTLS-0526-SM-2TF64	0
GTEX-QDT8-0526-SM-3NMD8	0
GTEX-13NZ8-0226-SM-5J2OK	2
GTEX-XBEW-0006-SM-4AT4E	4
GTEX-13JVG-0126-SM-5L3D3	0
GTEX-X585-1026-SM-46MW6	1
GTEX-12WSH-2526-SM-5CVNH	0
GTEX-12696-2826-SM-5FQTY	0
GTEX-ZE7O-1126-SM-57WC8	2
GTEX-XUW1-1026-SM-4BONY	2
GTEX-13FHO-0726-SM-5IJDG	0
GTEX-12WSN-0726-SM-5GCMS	2
GTEX-ZAB4-0626-SM-5CVN3	1
GTEX-12696-2526-SM-5EQLN	3
GTEX-111CU-0326-SM-5GZXO	1
GTEX-133LE-0326-SM-5P9G4	2
GTEX-13111-0005-SM-5NQ7Z	4
GTEX-QESD-0006-SM-2I5G6	4
GTEX-11NUK-0826-SM-5HL4U	1
GTEX-YJ89-0226-SM-4TT3Y	3
GTEX-P4PP-0005-SM-2HMKX	4
GTEX-14BMU-2126-SM-5S2TS	3
GTEX-14E6D-0005-SM-5N9D7	4
GTEX-14A6H-0526-SM-5NQAZ	1
GTEX-X261-0005-SM-4PQYX	4
GTEX-13NYC-2426-SM-5MR3K	2
GTEX-14753-0926-SM-5Q5BI	2
GTEX-14C39-0005-SM-5NQBR	4
GTEX-SSA3-0326-SM-32QPS	0
GTEX-145MO-0426-SM-5QGP6	3
GTEX-ZF3C-0326-SM-4WWBF	0
GTEX-12WSJ-0326-SM-5GCMT	2
GTEX-YFCO-0326-SM-4W1ZP	2
GTEX-1399R-0006-SM-5N9FR	4
GTEX-WFON-0005-SM-3NMC9	4
GTEX-131XF-1026-SM-5BC6A	1
GTEX-13FHP-0726-SM-5K7YI	1
GTEX-117XS-0005-SM-5PNU6	4
GTEX-11P81-0226-SM-5HL5M	1
GTEX-11EI6-0826-SM-5985V	1
GTEX-OXRK-1826-SM-2HMJE	0
GTEX-148VJ-0326-SM-5QGQE	0
GTEX-ZLV1-0426-SM-4WWC2	1
GTEX-ZAKK-0326-SM-5EGHA	0
GTEX-SIU8-0926-SM-5SI87	1
GTEX-WHSB-1826-SM-3TW8M	0
GTEX-132NY-1026-SM-5P9IY	2
GTEX-X4XX-0005-SM-3NMCS	4
GTEX-145LT-1626-SM-5O992	0
GTEX-R55G-0006-SM-2TC6O	4
GTEX-1399R-0126-SM-5IFEV	2
GTEX-145LU-0526-SM-5O9AT	1
GTEX-11EQ8-0006-SM-5P9HJ	4
GTEX-QDVN-0626-SM-2I3FP	2
GTEX-13U4I-0006-SM-5N9CI	4
GTEX-11UD2-0626-SM-5GU6L	2
GTEX-1399U-2526-SM-5L3DL	0
GTEX-ZAJG-0726-SM-5HL9A	2
GTEX-XUW1-0005-SM-4BOQ7	4
GTEX-SIU8-0626-SM-2XCDN	2
GTEX-12584-0226-SM-5EQL5	3
GTEX-U8XE-0005-SM-3DB8I	4
GTEX-U8T8-0005-SM-3DB8F	4
GTEX-OHPK-0226-SM-3MJH6	3
GTEX-13CF2-0006-SM-5O99L	4
GTEX-13O3Q-2726-SM-5KM51	0
GTEX-ZVZP-2526-SM-57WBR	0
GTEX-1313W-0006-SM-5O9B1	4
GTEX-13O21-3026-SM-5J2NI	1
GTEX-RWSA-1126-SM-2XCAZ	1
GTEX-V955-0426-SM-3GAEL	2
GTEX-YBZK-0005-SM-59HKG	4
GTEX-11TT1-1126-SM-5P9GV	2
GTEX-145MN-0926-SM-5NQBT	1
GTEX-12WSG-2526-SM-5EQ4O	0
GTEX-131XE-2726-SM-5P9G7	0
GTEX-X4LF-0006-SM-3NMCO	4
GTEX-ZUA1-0226-SM-5NQ9Q	3
GTEX-ZA64-0426-SM-5HL96	2
GTEX-QLQ7-0726-SM-2I5G2	2
GTEX-WYJK-1626-SM-3NM9J	2
GTEX-12WSC-0826-SM-5EQ5Q	2
GTEX-144GM-2026-SM-5LU3D	0
GTEX-13NZA-1026-SM-5MR48	2
GTEX-X5EB-0726-SM-46MVR	2
GTEX-YEC3-0005-SM-4W21J	4
GTEX-13W3W-2526-SM-5SI9P	3
GTEX-13FTZ-2226-SM-5LZXI	0
GTEX-RN64-0626-SM-2TC5V	2
GTEX-13NZA-0126-SM-5K7UH	3
GTEX-1128S-0005-SM-5P9HI	4
GTEX-YECK-0226-SM-4W215	3
GTEX-PX3G-0006-SM-5SI7E	4
GTEX-RN64-1226-SM-2TC6E	1
GTEX-144GM-1926-SM-5LUAN	3
GTEX-WFJO-0326-SM-3GIL3	1
GTEX-11DXW-0006-SM-5NQ7Y	4
GTEX-ZPIC-2526-SM-57WDP	0
GTEX-POYW-0006-SM-2XCF4	4
GTEX-ZVTK-0526-SM-5GZWT	3
GTEX-YJ8O-2826-SM-5CVM4	0
GTEX-139YR-2426-SM-5J1OB	3
GTEX-11ZU8-2426-SM-5EQMV	3
GTEX-XQ3S-0926-SM-4BOPI	1
GTEX-12WSA-0005-SM-5O9BM	4
GTEX-WY7C-2426-SM-3NB2V	3
GTEX-14H4A-0006-SM-5N9E3	4
GTEX-11OF3-2426-SM-5Q5AS	3
GTEX-139UW-0005-SM-5NQ8U	4
GTEX-145LS-0526-SM-5LU8Y	0
GTEX-12696-1026-SM-5FQUV	1
GTEX-YEC4-0626-SM-5CVLU	2
GTEX-R45C-0006-SM-3GAD6	4
GTEX-139T6-0426-SM-5IJEM	1
GTEX-11OF3-0006-SM-5O9CM	4
GTEX-12WSJ-0226-SM-5GCP7	1
GTEX-OIZH-2626-SM-2HMJM	2
GTEX-ZY6K-2026-SM-5GZXQ	0
GTEX-W5X1-0526-SM-3GILH	1
